id,matchup,year,winner,runnerup,finalscore,easternConfRunnerUp,westernConfRunnerUp
16,"2007/08 — Boston Celtics v Los Angeles Lakers",2007/08,"Boston Celtics","Los Angeles Lakers",4/2,"Detroit Pistons","San Antonio Spurs"
17,"2006/07 — San Antonio Spurs v Cleveland Cavaliers",2006/07,"San Antonio Spurs","Cleveland Cavaliers",4/0,"Detroit Pistons","Utah Jazz"
18,"2005/06 — Miami Heat v Dallas Mavericks",2005/06,"Miami Heat","Dallas Mavericks",4/2,"Detroit Pistons","Phoenix Suns"
19,"2004/05 — San Antonio Spurs v Detroit Pistons",2004/05,"San Antonio Spurs","Detroit Pistons", 4/3,"Miami Heat","Phoenix Suns"
20,"2003/04 — Detroit Pistons v Los Angeles Lakers",2003/04,"Detroit Pistons","Los Angeles Lakers",4/1,"Indiana Pacers","Minnesota Timberwolves"
21,"2002/03 — San Antonio Spurs v New Jersey Nets",2002/03,"San Antonio Spurs","New Jersey Nets",4/2,"Detroit Pistons","Dallas Mavericks"
22,"2001/02 — Los Angeles Lakers v New Jersey Nets",2001/02,"Los Angeles Lakers","New Jersey Nets",4/0,"Boston Celtics","Sacramento Kings"
23,"2000/01 — Los Angeles Lakers v Philadelphia 76ers",2000/01,"Los Angeles Lakers","Philadelphia 76ers",4/1,"Milwaukee Bucks","San Antonio Spurs"
24,"1999/00 — Los Angeles Lakers v Indiana Pacers",1999/00,"Los Angeles Lakers","Indiana Pacers",4/2,"New York Knicks","Portland Trailblazers"
25,"1998/99 — San Antonio Spurs v New York Knicks",1998/99,"San Antonio Spurs","New York Knicks",4/1,"Indiana Pacers","Portland Trailblazers"
26,"1997/98 — Chicago Bulls v Utah Jazz",1997/98,"Chicago Bulls","Utah Jazz",4/2,"Indiana Pacers","Los Angeles Lakers"
27,"1996/97 — Chicago Bulls v Utah Jazz",1996/97,"Chicago Bulls","Utah Jazz",4/2,"Miami Heat","Houston Rockets"
28,"1995/96 — Chicago Bulls v Seattle Supersonics",1995/96,"Chicago Bulls","Seattle Supersonics",4/2,"Orlando Magic","Utah Jazz"
29,"1994/95 — Houston Rockets v Orlando Magic",1994/95,"Houston Rockets","Orlando Magic",4/0,"Indiana Pacers","San Antonio Spurs"
